worker_id,session,item_id,group,access_tier,modality,assist_arm,y_true,ai_conf,ai_correct,human_accept,human_correct,high_conf_error,caught_high_conf_error
W001,1,39,0,smart_3G,voice,Calib,1,0.779,1,1,0,0,0
W001,1,40,0,smart_3G,voice,Calib,0,0.795,1,1,1,0,0
W001,2,1,0,smart_3G,voice,Counter,0,0.731,1,1,1,0,0
W001,2,2,0,smart_3G,voice,Rationale,1,0.502,0,1,1,0,0
W001,2,3,0,smart_3G,voice,Calib,0,0.698,1,0,1,0,0
W001,2,4,0,smart_3G,voice,Calib,0,0.685,1,1,1,0,0
W001,2,5,0,smart_3G,voice,Calib,0,0.685,1,1,1,0,0
W001,2,6,0,smart_3G,voice,None,1,0.82,1,0,1,0,0
W001,2,7,0,smart_3G,voice,Calib,0,0.747,1,1,1,0,0
W001,2,8,0,smart_3G,voice,Calib,0,0.671,0,1,0,0,0
W001,2,9,0,smart_3G,voice,Rationale,1,0.913,1,1,1,0,0
W001,2,10,0,smart_3G,voice,Counter,1,0.721,1,1,1,0,0
W001,2,11,0,smart_3G,voice,Calib,1,0.769,1,0,1,0,0
W001,2,12,0,smart_3G,voice,Counter,1,0.717,1,1,1,0,0
W001,2,13,0,smart_3G,voice,Counter,0,0.717,1,0,1,0,0
W001,2,14,0,smart_3G,voice,Calib,1,0.934,1,1,1,0,0
W001,2,15,0,smart_3G,voice,None,1,0.684,0,1,1,0,0
W001,2,16,0,smart_3G,voice,Calib,1,0.672,0,0,1,0,0
W001,2,17,0,smart_3G,voice,None,0,0.935,1,0,0,0,0
W001,2,18,0,smart_3G,voice,Counter,0,0.813,1,0,0,0,0
W001,2,19,0,smart_3G,voice,Calib,1,0.654,0,0,0,0,0
W001,2,20,0,smart_3G,voice,Rationale,1,0.871,1,1,1,0,0
W001,2,21,0,smart_3G,voice,Calib,1,0.904,1,1,1,0,0
W001,2,22,0,smart_3G,voice,Rationale,0,0.702,1,0,1,0,0
W001,2,23,0,smart_3G,voice,Rationale,0,0.914,1,1,0,0,0
W001,2,24,0,smart_3G,voice,None,1,0.63,1,1,1,0,0
W001,2,25,0,smart_3G,voice,Rationale,0,0.525,0,0,1,0,0
W001,2,26,0,smart_3G,voice,Rationale,1,0.673,1,1,0,0,0
W001,2,27,0,smart_3G,voice,Counter,1,0.576,0,0,1,0,0
W001,2,28,0,smart_3G,voice,None,1,0.942,1,1,0,0,0
W001,2,29,0,smart_3G,voice,Calib,1,0.818,0,0,0,1,0
W001,2,30,0,smart_3G,voice,Counter,0,0.649,0,0,1,0,0
W001,2,31,0,smart_3G,voice,Rationale,0,0.653,1,0,0,0,0
W001,2,32,0,smart_3G,voice,Counter,1,0.609,0,1,1,0,0
W001,2,33,0,smart_3G,voice,Calib,1,0.698,1,1,1,0,0
W001,2,34,0,smart_3G,voice,Rationale,1,0.847,1,0,0,0,0
W001,2,35,0,smart_3G,voice,Counter,1,0.737,1,1,1,0,0
W001,2,36,0,smart_3G,voice,Calib,1,0.43,0,1,1,0,0
W001,2,37,0,smart_3G,voice,Rationale,1,0.58,0,0,1,0,0
W001,2,38,0,smart_3G,voice,None,1,0.803,1,0,0,0,0
W001,2,39,0,smart_3G,voice,Rationale,1,0.495,0,0,1,0,0
W001,2,40,0,smart_3G,voice,Calib,1,0.761,1,1,1,0,0
W001,3,1,0,smart_3G,voice,Rationale,0,0.728,1,0,1,0,0
W001,3,2,0,smart_3G,voice,None,0,0.408,0,0,1,0,0
W001,3,3,0,smart_3G,voice,Counter,0,0.452,0,0,0,0,0
W001,3,4,0,smart_3G,voice,Rationale,1,0.795,1,0,1,0,0
W001,3,5,0,smart_3G,voice,Counter,1,0.807,1,0,0,0,0
W001,3,6,0,smart_3G,voice,Calib,1,0.829,0,1,1,1,1
W001,3,7,0,smart_3G,voice,Rationale,0,0.807,1,0,1,0,0
W001,3,8,0,smart_3G,voice,Rationale,0,0.759,1,1,0,0,0
W001,3,9,0,smart_3G,voice,Rationale,1,0.532,0,1,0,0,0
W001,3,10,0,smart_3G,voice,Calib,1,0.905,0,0,0,1,0
W001,3,11,0,smart_3G,voice,Calib,0,0.8,1,1,1,0,0
W001,3,12,0,smart_3G,voice,Counter,1,0.744,1,0,0,0,0
W001,3,13,0,smart_3G,voice,Rationale,0,0.417,0,0,1,0,0
W001,3,14,0,smart_3G,voice,Rationale,1,0.876,1,1,1,0,0
W001,3,15,0,smart_3G,voice,Calib,1,0.86,1,1,0,0,0
W001,3,16,0,smart_3G,voice,Calib,1,0.572,0,0,1,0,0
W001,3,17,0,smart_3G,voice,None,1,0.843,1,1,1,0,0
W001,3,18,0,smart_3G,voice,Rationale,1,0.757,1,0,1,0,0
W001,3,19,0,smart_3G,voice,None,1,0.794,1,1,0,0,0
W001,3,20,0,smart_3G,voice,Rationale,0,0.783,1,0,1,0,0
W001,3,21,0,smart_3G,voice,None,1,0.818,1,1,0,0,0
W001,3,22,0,smart_3G,voice,Rationale,1,0.832,1,0,1,0,0
W001,3,23,0,smart_3G,voice,Calib,0,0.655,1,1,1,0,0
W001,3,24,0,smart_3G,voice,Rationale,0,0.797,1,1,0,0,0
W001,3,25,0,smart_3G,voice,Calib,1,0.658,1,0,1,0,0
W001,3,26,0,smart_3G,voice,Rationale,1,0.689,1,0,1,0,0
W001,3,27,0,smart_3G,voice,Rationale,1,0.844,1,1,0,0,0
W001,3,28,0,smart_3G,voice,Rationale,0,0.617,0,0,1,0,0
W001,3,29,0,smart_3G,voice,Rationale,0,0.831,1,1,1,0,0
W001,3,30,0,smart_3G,voice,Calib,1,0.715,1,0,1,0,0
W001,3,31,0,smart_3G,voice,Calib,1,0.94,1,1,1,0,0
W001,3,32,0,smart_3G,voice,None,1,0.939,1,1,1,0,0
W001,3,33,0,smart_3G,voice,Calib,0,0.816,1,1,0,0,0
W001,3,34,0,smart_3G,voice,Counter,1,0.832,1,0,0,0,0
W001,3,35,0,smart_3G,voice,None,0,0.692,0,0,1,0,0
W001,3,36,0,smart_3G,voice,Rationale,1,0.677,0,1,1,0,0
W001,3,37,0,smart_3G,voice,Calib,1,0.8,1,1,1,0,0
W001,3,38,0,smart_3G,voice,Calib,1,0.844,1,1,1,0,0
W001,3,39,0,smart_3G,voice,Rationale,1,0.877,1,0,1,0,0
W001,3,40,0,smart_3G,voice,Counter,1,0.494,0,0,0,0,0
W001,4,1,0,smart_3G,voice,Calib,1,0.558,0,1,1,0,0
W001,4,2,0,smart_3G,voice,Calib,0,0.746,1,1,1,0,0
W001,4,3,0,smart_3G,voice,Calib,0,0.574,1,1,1,0,0
W001,4,4,0,smart_3G,voice,Calib,1,0.749,1,0,0,0,0
W001,4,5,0,smart_3G,voice,Counter,0,0.646,1,1,0,0,0
W001,4,6,0,smart_3G,voice,None,0,0.732,1,0,1,0,0
W001,4,7,0,smart_3G,voice,None,1,0.528,0,0,1,0,0
W001,4,8,0,smart_3G,voice,None,1,0.756,0,1,1,0,0
W001,4,9,0,smart_3G,voice,None,0,0.452,0,0,1,0,0
W001,4,10,0,smart_3G,voice,Rationale,1,0.692,1,0,1,0,0
W001,4,11,0,smart_3G,voice,None,1,0.592,0,0,0,0,0
W001,4,12,0,smart_3G,voice,Calib,1,0.697,0,1,1,0,0
W001,4,13,0,smart_3G,voice,None,1,0.723,1,1,1,0,0
W001,4,14,0,smart_3G,voice,Calib,0,0.852,1,1,0,0,0
W001,4,15,0,smart_3G,voice,Calib,1,0.71,1,1,0,0,0
W001,4,16,0,smart_3G,voice,Rationale,1,0.651,1,1,0,0,0
W001,4,17,0,smart_3G,voice,Calib,1,0.974,1,1,1,0,0
W001,4,18,0,smart_3G,voice,Calib,1,0.936,1,1,0,0,0
W001,4,19,0,smart_3G,voice,Rationale,0,0.878,1,1,1,0,0
W001,4,20,0,smart_3G,voice,Calib,1,0.606,1,1,0,0,0
W001,4,21,0,smart_3G,voice,Calib,0,0.602,0,1,0,0,0
W001,4,22,0,smart_3G,voice,Counter,1,0.785,1,1,1,0,0
W001,4,23,0,smart_3G,voice,Calib,0,0.764,0,0,1,0,0
W001,4,24,0,smart_3G,voice,Rationale,0,0.857,1,1,0,0,0
W001,4,25,0,smart_3G,voice,Rationale,0,0.751,1,0,0,0,0
W001,4,26,0,smart_3G,voice,None,1,0.657,0,1,1,0,0
W001,4,27,0,smart_3G,voice,Rationale,1,0.505,0,1,1,0,0
W001,4,28,0,smart_3G,voice,Rationale,1,0.794,0,0,0,0,0
W001,4,29,0,smart_3G,voice,Counter,1,0.509,0,0,1,0,0
W001,4,30,0,smart_3G,voice,Calib,1,0.78,1,1,1,0,0
W001,4,31,0,smart_3G,voice,Calib,1,0.99,1,0,1,0,0
W001,4,32,0,smart_3G,voice,Calib,1,0.763,1,0,1,0,0
W001,4,33,0,smart_3G,voice,None,0,0.762,1,0,0,0,0
W001,4,34,0,smart_3G,voice,Calib,0,0.877,1,0,1,0,0
W001,4,35,0,smart_3G,voice,Rationale,1,0.803,1,0,0,0,0
W001,4,36,0,smart_3G,voice,None,1,0.758,1,1,1,0,0
W001,4,37,0,smart_3G,voice,Rationale,1,0.716,1,1,1,0,0
W001,4,38,0,smart_3G,voice,Counter,1,0.774,1,1,0,0,0
W001,4,39,0,smart_3G,voice,Counter,0,0.711,1,0,0,0,0
W001,4,40,0,smart_3G,voice,Calib,1,0.784,1,0,0,0,0
W001,5,1,0,smart_3G,voice,Counter,1,0.792,1,1,1,0,0
W001,5,2,0,smart_3G,voice,Counter,0,0.749,1,1,1,0,0
W001,5,3,0,smart_3G,voice,Calib,0,0.889,1,0,1,0,0
W001,5,4,0,smart_3G,voice,Rationale,0,0.751,1,0,1,0,0
W001,5,5,0,smart_3G,voice,Calib,0,0.296,0,0,1,0,0
W001,5,6,0,smart_3G,voice,Counter,0,0.884,1,0,1,0,0
W001,5,7,0,smart_3G,voice,Rationale,1,0.8,1,1,1,0,0
W001,5,8,0,smart_3G,voice,Rationale,1,0.778,1,1,1,0,0
W001,5,9,0,smart_3G,voice,None,0,0.652,1,1,1,0,0
W001,5,10,0,smart_3G,voice,Rationale,1,0.668,0,1,1,0,0
W001,5,11,0,smart_3G,voice,Rationale,0,0.653,1,0,1,0,0
W001,5,12,0,smart_3G,voice,None,1,0.831,1,0,0,0,0
W001,5,13,0,smart_3G,voice,Rationale,0,0.629,0,0,0,0,0
W001,5,14,0,smart_3G,voice,Calib,1,0.854,1,0,1,0,0
W001,5,15,0,smart_3G,voice,Counter,1,0.747,1,0,0,0,0
W001,5,16,0,smart_3G,voice,Counter,0,0.772,1,1,1,0,0
W001,5,17,0,smart_3G,voice,Calib,1,0.794,1,0,1,0,0
W001,5,18,0,smart_3G,voice,Calib,0,0.78,1,0,0,0,0
W001,5,19,0,smart_3G,voice,Rationale,1,0.732,1,0,1,0,0
W001,5,20,0,smart_3G,voice,Rationale,0,0.596,0,1,1,0,0
W001,5,21,0,smart_3G,voice,None,0,0.824,1,1,0,0,0
W001,5,22,0,smart_3G,voice,Counter,1,0.605,0,0,0,0,0
W001,5,23,0,smart_3G,voice,Calib,0,0.813,1,1,0,0,0
W001,5,24,0,smart_3G,voice,Rationale,1,0.831,1,1,1,0,0
W001,5,25,0,smart_3G,voice,Counter,1,0.796,1,0,1,0,0
W001,5,26,0,smart_3G,voice,Counter,1,0.581,0,0,0,0,0
W001,5,27,0,smart_3G,voice,None,1,0.506,0,0,1,0,0
W001,5,28,0,smart_3G,voice,Calib,1,0.731,1,1,0,0,0
W001,5,29,0,smart_3G,voice,None,1,0.875,1,1,1,0,0
W001,5,30,0,smart_3G,voice,Calib,0,0.761,1,0,0,0,0
W001,5,31,0,smart_3G,voice,None,0,0.724,1,1,0,0,0
W001,5,32,0,smart_3G,voice,Counter,1,0.777,1,0,1,0,0
W001,5,33,0,smart_3G,voice,Rationale,1,0.736,0,1,1,0,0
W001,5,34,0,smart_3G,voice,None,1,0.545,0,0,0,0,0
W001,5,35,0,smart_3G,voice,Calib,0,0.817,1,1,1,0,0
W001,5,36,0,smart_3G,voice,Counter,0,0.826,1,0,0,0,0
W001,5,37,0,smart_3G,voice,Counter,0,0.378,0,0,0,0,0
W001,5,38,0,smart_3G,voice,Calib,1,0.532,0,1,1,0,0
W001,5,39,0,smart_3G,voice,Rationale,1,0.767,1,1,1,0,0
W001,5,40,0,smart_3G,voice,Calib,1,0.458,0,1,1,0,0
W001,6,1,0,smart_3G,voice,Rationale,0,0.666,1,1,1,0,0
W001,6,2,0,smart_3G,voice,None,1,0.828,1,0,1,0,0
W001,6,3,0,smart_3G,voice,Counter,0,0.705,1,0,0,0,0
W001,6,4,0,smart_3G,voice,Calib,1,0.794,0,0,0,0,0
W001,6,5,0,smart_3G,voice,Calib,0,0.754,1,1,1,0,0
W001,6,6,0,smart_3G,voice,Rationale,1,0.606,0,1,1,0,0
W001,6,7,0,smart_3G,voice,Counter,0,0.434,0,1,1,0,0
W001,6,8,0,smart_3G,voice,Calib,1,0.691,1,0,0,0,0
W001,6,9,0,smart_3G,voice,None,1,0.898,1,1,0,0,0
W001,6,10,0,smart_3G,voice,Counter,1,0.783,0,0,1,0,0
W001,6,11,0,smart_3G,voice,Calib,0,0.772,1,1,1,0,0
W001,6,12,0,smart_3G,voice,Rationale,0,0.9,1,0,1,0,0
W001,6,13,0,smart_3G,voice,Calib,1,0.826,1,1,1,0,0
W001,6,14,0,smart_3G,voice,None,1,0.81,1,1,1,0,0
W001,6,15,0,smart_3G,voice,Rationale,1,0.747,1,1,0,0,0
W001,6,16,0,smart_3G,voice,None,0,0.667,1,0,1,0,0
W001,6,17,0,smart_3G,voice,Calib,0,0.856,1,0,1,0,0
W001,6,18,0,smart_3G,voice,Rationale,0,0.99,1,0,1,0,0
W001,6,19,0,smart_3G,voice,Counter,1,0.726,1,0,1,0,0
W001,6,20,0,smart_3G,voice,Calib,1,0.597,1,1,1,0,0
W001,6,21,0,smart_3G,voice,Calib,1,0.708,1,1,1,0,0
W001,6,22,0,smart_3G,voice,Calib,0,0.769,1,0,1,0,0
W001,6,23,0,smart_3G,voice,Rationale,0,0.917,1,1,1,0,0
W001,6,24,0,smart_3G,voice,Rationale,0,0.903,1,1,1,0,0
W001,6,25,0,smart_3G,voice,Calib,1,0.827,1,1,1,0,0
W001,6,26,0,smart_3G,voice,Rationale,1,0.789,1,1,0,0,0
W001,6,27,0,smart_3G,voice,Calib,1,0.79,0,1,0,0,0
W001,6,28,0,smart_3G,voice,None,1,0.965,1,0,1,0,0
W001,6,29,0,smart_3G,voice,None,1,0.917,1,1,1,0,0
W001,6,30,0,smart_3G,voice,Calib,1,0.842,1,0,1,0,0
W001,6,31,0,smart_3G,voice,Rationale,1,0.695,1,1,1,0,0
W001,6,32,0,smart_3G,voice,Counter,0,0.787,1,1,1,0,0
W001,6,33,0,smart_3G,voice,None,1,0.697,0,0,1,0,0
W001,6,34,0,smart_3G,voice,None,1,0.454,0,1,0,0,0
W001,6,35,0,smart_3G,voice,None,0,0.674,0,0,1,0,0
W001,6,36,0,smart_3G,voice,Calib,1,0.791,1,0,1,0,0
W001,6,37,0,smart_3G,voice,Counter,0,0.569,0,0,1,0,0
W001,6,38,0,smart_3G,voice,Calib,0,0.739,1,0,0,0,0
W001,6,39,0,smart_3G,voice,Rationale,0,0.858,1,1,1,0,0
W001,6,40,0,smart_3G,voice,Calib,1,0.673,1,0,1,0,0
W002,1,1,1,feature_2G,voice,None,1,0.517,0,0,0,0,0
W002,1,2,1,feature_2G,voice,Calib,0,0.96,1,1,1,0,0
W002,1,3,1,feature_2G,voice,Rationale,1,0.891,1,0,0,0,0
W002,1,4,1,feature_2G,voice,Counter,0,0.825,1,1,1,0,0
W002,1,5,1,feature_2G,voice,Counter,0,0.51,0,0,1,0,0
W002,1,6,1,feature_2G,voice,Rationale,0,0.566,0,0,1,0,0
W002,1,7,1,feature_2G,voice,Calib,1,0.701,1,1,1,0,0
W002,1,8,1,feature_2G,voice,None,1,0.573,0,0,1,0,0
W002,1,9,1,feature_2G,voice,Rationale,1,0.798,1,1,1,0,0
W002,1,10,1,feature_2G,voice,Counter,1,0.764,0,0,1,0,0
W002,1,11,1,feature_2G,voice,Rationale,0,0.68,1,0,1,0,0
W002,1,12,1,feature_2G,voice,Counter,1,0.517,0,0,1,0,0
W002,1,13,1,feature_2G,voice,Rationale,0,0.831,1,1,1,0,0
W002,1,14,1,feature_2G,voice,None,0,0.813,1,1,1,0,0
W002,1,15,1,feature_2G,voice,Rationale,0,0.716,1,1,1,0,0
W002,1,16,1,feature_2G,voice,Calib,0,0.911,1,1,0,0,0
W002,1,17,1,feature_2G,voice,Calib,1,0.733,1,1,1,0,0
W002,1,18,1,feature_2G,voice,None,1,0.699,1,0,1,0,0
W002,1,19,1,feature_2G,voice,Calib,0,0.621,1,0,0,0,0
W002,1,20,1,feature_2G,voice,Counter,0,0.81,1,0,1,0,0
W002,1,21,1,feature_2G,voice,None,1,0.665,0,1,1,0,0
W002,1,22,1,feature_2G,voice,None,1,0.49,0,0,0,0,0
W002,1,23,1,feature_2G,voice,Calib,0,0.693,1,0,0,0,0
W002,1,24,1,feature_2G,voice,Calib,0,0.755,1,0,1,0,0
W002,1,25,1,feature_2G,voice,Calib,1,0.685,0,1,1,0,0
W002,1,26,1,feature_2G,voice,Rationale,1,0.857,1,0,1,0,0
W002,1,27,1,feature_2G,voice,Rationale,1,0.811,1,0,1,0,0
W002,1,28,1,feature_2G,voice,Counter,0,0.979,1,0,1,0,0
W002,1,29,1,feature_2G,voice,Counter,1,0.632,0,1,1,0,0
W002,1,30,1,feature_2G,voice,None,1,0.806,1,0,1,0,0
W002,1,31,1,feature_2G,voice,Counter,1,0.597,0,1,0,0,0
W002,1,32,1,feature_2G,voice,None,1,0.845,1,1,1,0,0
W002,1,33,1,feature_2G,voice,None,1,0.785,1,0,1,0,0
W002,1,34,1,feature_2G,voice,Rationale,1,0.822,1,1,1,0,0
W002,1,35,1,feature_2G,voice,Rationale,1,0.574,0,1,0,0,0
W002,1,36,1,feature_2G,voice,None,1,0.779,0,1,1,0,0
W002,1,37,1,feature_2G,voice,None,1,0.749,1,1,0,0,0
W002,1,38,1,feature_2G,voice,Counter,1,0.794,1,0,1,0,0
W002,1,39,1,feature_2G,voice,Rationale,1,0.436,0,0,1,0,0
W002,1,40,1,feature_2G,voice,Counter,1,0.573,0,0,1,0,0
W002,2,1,1,feature_2G,voice,Rationale,0,0.736,1,1,1,0,0
W002,2,2,1,feature_2G,voice,None,0,0.647,0,0,0,0,0
W002,2,3,1,feature_2G,voice,Rationale,0,0.876,1,1,1,0,0
W002,2,4,1,feature_2G,voice,None,0,0.581,0,0,1,0,0
W002,2,5,1,feature_2G,voice,Rationale,0,0.52,0,0,1,0,0
W002,2,6,1,feature_2G,voice,Rationale,1,0.863,1,0,1,0,0
W002,2,7,1,feature_2G,voice,Calib,1,0.756,0,1,1,0,0
W002,2,8,1,feature_2G,voice,None,1,0.905,1,0,1,0,0
W002,2,9,1,feature_2G,voice,None,1,0.672,1,1,0,0,0
W002,2,10,1,feature_2G,voice,Calib,0,0.702,1,1,1,0,0
W002,2,11,1,feature_2G,voice,Calib,1,0.86,1,0,1,0,0
W002,2,12,1,feature_2G,voice,Rationale,1,0.719,1,0,0,0,0
W002,2,13,1,feature_2G,voice,Calib,1,0.523,0,1,1,0,0
W002,2,14,1,feature_2G,voice,Calib,0,0.711,0,0,1,0,0
W002,2,15,1,feature_2G,voice,Rationale,0,0.696,1,1,1,0,0
W002,2,16,1,feature_2G,voice,Counter,1,0.623,1,0,0,0,0
W002,2,17,1,feature_2G,voice,Calib,1,0.58,0,1,1,0,0
W002,2,18,1,feature_2G,voice,Counter,0,0.634,0,1,1,0,0
W002,2,19,1,feature_2G,voice,Calib,0,0.648,0,0,1,0,0
W002,2,20,1,feature_2G,voice,Calib,0,0.522,0,1,1,0,0
W002,2,21,1,feature_2G,voice,Calib,1,0.84,1,0,0,0,0
W002,2,22,1,feature_2G,voice,None,1,0.81,1,1,0,0,0
W002,2,23,1,feature_2G,voice,Counter,1,0.734,1,0,0,0,0
W002,2,24,1,feature_2G,voice,Calib,1,0.827,1,0,1,0,0
W002,2,25,1,feature_2G,voice,None,0,0.717,1,0,1,0,0
W002,2,26,1,feature_2G,voice,Rationale,1,0.832,1,0,0,0,0
W002,2,27,1,feature_2G,voice,Rationale,1,0.627,0,1,1,0,0
W002,2,28,1,feature_2G,voice,Calib,1,0.855,1,1,0,0,0
W002,2,29,1,feature_2G,voice,None,1,0.735,1,0,1,0,0
W002,2,30,1,feature_2G,voice,Calib,1,0.622,0,1,1,0,0
W002,2,31,1,feature_2G,voice,Counter,1,0.766,1,0,0,0,0
W002,2,32,1,feature_2G,voice,Calib,1,0.744,1,1,1,0,0
W002,2,33,1,feature_2G,voice,Rationale,1,0.901,1,0,0,0,0
W002,2,34,1,feature_2G,voice,Calib,1,0.83,1,0,1,0,0
W002,2,35,1,feature_2G,voice,Rationale,0,0.931,1,1,1,0,0
W002,2,36,1,feature_2G,voice,Rationale,1,0.903,1,0,1,0,0
W002,2,37,1,feature_2G,voice,Calib,1,0.544,0,1,0,0,0
W002,2,38,1,feature_2G,voice,None,0,0.652,1,1,1,0,0
W002,2,39,1,feature_2G,voice,None,1,0.913,1,0,1,0,0
W002,2,40,1,feature_2G,voice,Calib,1,0.545,0,1,0,0,0
W002,3,1,1,feature_2G,voice,None,0,0.71,1,0,1,0,0
W002,3,2,1,feature_2G,voice,Rationale,1,0.714,1,0,1,0,0
W002,3,3,1,feature_2G,voice,Rationale,0,0.586,1,1,0,0,0
W002,3,4,1,feature_2G,voice,None,1,0.706,0,0,0,0,0
W002,3,5,1,feature_2G,voice,None,0,0.844,1,1,1,0,0
W002,3,6,1,feature_2G,voice,Rationale,1,0.68,1,1,1,0,0
W002,3,7,1,feature_2G,voice,None,0,0.796,1,1,1,0,0
W002,3,8,1,feature_2G,voice,Counter,1,0.872,1,0,1,0,0
W002,3,9,1,feature_2G,voice,None,0,0.815,1,1,1,0,0
W002,3,10,1,feature_2G,voice,Calib,1,0.852,1,1,0,0,0
W002,3,11,1,feature_2G,voice,Rationale,1,0.522,0,1,1,0,0
W002,3,12,1,feature_2G,voice,Calib,1,0.716,1,0,0,0,0
W002,3,13,1,feature_2G,voice,Counter,1,0.851,1,1,1,0,0
W002,3,14,1,feature_2G,voice,None,0,0.591,0,0,0,0,0
W002,3,15,1,feature_2G,voice,Counter,1,0.854,1,0,1,0,0
W002,3,16,1,feature_2G,voice,Calib,1,0.52,0,0,1,0,0
W002,3,17,1,feature_2G,voice,Calib,0,0.753,1,1,0,0,0
W002,3,18,1,feature_2G,voice,Calib,1,0.748,1,0,1,0,0
W002,3,19,1,feature_2G,voice,Counter,0,0.774,1,0,0,0,0
W002,3,20,1,feature_2G,voice,Calib,1,0.654,0,1,1,0,0
W002,3,21,1,feature_2G,voice,None,1,0.826,1,1,0,0,0
W002,3,22,1,feature_2G,voice,None,0,0.639,0,0,0,0,0
W002,3,23,1,feature_2G,voice,Rationale,1,0.345,0,0,0,0,0
W002,3,24,1,feature_2G,voice,Rationale,1,0.527,0,0,1,0,0
W002,3,25,1,feature_2G,voice,Rationale,1,0.909,1,0,1,0,0
W002,3,26,1,feature_2G,voice,Rationale,0,0.754,1,0,1,0,0
W002,3,27,1,feature_2G,voice,None,0,0.743,1,1,0,0,0
W002,3,28,1,feature_2G,voice,Rationale,0,0.796,1,0,0,0,0
W002,3,29,1,feature_2G,voice,Calib,1,0.821,1,0,0,0,0
W002,3,30,1,feature_2G,voice,Calib,1,0.794,1,0,0,0,0
W002,3,31,1,feature_2G,voice,Calib,1,0.869,1,1,1,0,0
W002,3,32,1,feature_2G,voice,Counter,1,0.77,1,1,0,0,0
W002,3,33,1,feature_2G,voice,Counter,1,0.662,0,1,0,0,0
W002,3,34,1,feature_2G,voice,None,0,0.569,0,0,0,0,0
W002,3,35,1,feature_2G,voice,Rationale,0,0.809,1,1,1,0,0
W002,3,36,1,feature_2G,voice,None,1,0.927,1,1,1,0,0
W002,3,37,1,feature_2G,voice,Rationale,1,0.856,1,0,1,0,0
W002,3,38,1,feature_2G,voice,None,1,0.805,0,1,1,1,1
W002,3,39,1,feature_2G,voice,Counter,0,0.706,1,1,0,0,0
W002,3,40,1,feature_2G,voice,Calib,0,0.629,0,1,1,0,0
W002,4,1,1,feature_2G,voice,Rationale,0,0.821,1,0,1,0,0
W002,4,2,1,feature_2G,voice,Calib,1,0.89,1,0,1,0,0
W002,4,3,1,feature_2G,voice,Calib,0,0.954,1,0,1,0,0
W002,4,4,1,feature_2G,voice,Calib,0,0.766,1,1,1,0,0
W002,4,5,1,feature_2G,voice,Rationale,0,0.746,1,0,1,0,0
